usuario,seguidores,seguidos
pablo_sah,708,644
lideratge_50a50,1683,758
pablosuelto,1761,2819
bellirioceci,506,1214
casadecronopios,44,156
rosamelero,2118,589
OIDPcat,728,1186
constanzasolor3,37,85
IlarrazaLaura,3987,178
mpfc73,1601,3590
AlvaroRodera,299,1472
silviamv00,24,136
Concertacion_pa,972,244
Lmdileo,106,314
PepaFranco,95,361
ErikaMonroyOrt1,24,41
luis_pepe1984,595,2749
14x7M,3,126
lamurgacom,1151,1754
chinome2018,237,703
Nubedeazucar13,668,1112
ileavillalobos,533,1482
InmaLozano10,190,158
MagdaQuerol,914,1166
tiempoin,154,417
Ruben_Castro,942,954
CALEMANR,3182,3826
jmancebog,407,570
avatarsofia,240,197
deusto,24862,1317
MACsimplicity,353,553
_AngeGI_,581,388
jesusowpadilla,165,1367
sAtt_arq,666,1171
Yola_MartinezL,2564,973
Xem1ta,57,73
ApSExtremadura,861,2425
carolinadosy,245,474
AmparoHidalgo7,89,129
jmoradiaz3,43,411
knowdler,807,1134
almudenaf,251,668
JPVmx,2836,4334
LaudeGuardia,124,150
AnjaradMadhavi_,72,881
editasalce,1936,1739
pedrosport1,465,2241
ivanpe84,105,175
JuanJodar4,79,152
jpalopcasado,2853,4948
granadofdez,1559,1651
CatedraHidralia,418,449
Aide_Albarran_C,69,87
madrid_osa,605,4860
IMIB_Arrixaca,541,424
CYTlab,8826,1678
txujb,150,302
crisorihuelar,721,602
CiudadMe,50,204
Ecooo_,15616,4362
robertofc,281,868
FAbiertas,286,587
JorgeAPerezP,277,556
Aguilera_Ariza,618,999
jpronal,33,291
PacoDelg,560,633
moises_1947,46,98
fjimenezm1,137,291
BurgosSolidaria,583,371
arquitectosCOAG,5584,1824
aldomaher,495,2147
Auroritacel,178,40
MiguelAleM45,265,557
BManriqueLara,423,308
AnaTeresaPache2,77,223
Nohemi38579494,1,6
Viky_Aquin,349,470
FundacionBeQual,2653,908
MAOM0303,111,413
lolaoltra,7133,4471
CarlosPaisaje,7,31
amycosONGD,1048,440
andresgutileon,680,940
LuzRoCorredor,4999,5000
xelocalabuig,877,964
Tonny1604,172,824
grace_basset,26,77
GoberCarchi,8802,543
quitohonesto,1831,607
Mechiansotegui,176,819
neidyclavijo,863,588
Gsabiolab,525,186
fotaranco,51,199
EcuadorONU,3568,417
ADEFIcv,257,271
AlbertBlancoD,2241,2058
MoniRo703,5,227
Perisandru,10641,4412
ELX2030,344,212
Red_Carolina,114636,1453
ElCoffeeMan,798,1746
claudiamleguiza,688,1267
Goibasins47,1,49
LFdezPolicy,36,190
jamonada,324,533
DRF25,63,198
jmejia_alvarez,195,609
Orrozco1,19,176
APBarandica,435,559
soydavidmontiel,3191,923
ledoleon,2078,1306
javipi1964,1213,1200
And_Martini,159,234
CeliaUrbieta,1016,723
Fog1973Felix,266,575
xavierhervas,795,1655
EVALUAJalisco,863,47
Soniafh81,654,1286
Blancarenas1,168,501
carlosmcabo,1186,1142
palmeraviva1,191,368
Jose_mpp,244,1678
MloulouM,27,194
pacheco_mairym,236,164
ASF_Levante,161,217
juang353,2318,5001
ParraBaltasar,101,472
AclimaEuskadi,1606,589
JPVelasquez17,226,323
DaviDelgadosant,390,345
M_LuzOrtega,2225,1766
ST_Talcaoficial,2129,1130
mariaferquijano,249,538
CruzRojaCarav,513,201
Valeria_mg_14,2487,893
JuanaInesGarci1,19,34
Saiidmar,224,346
InmaVelascoJuez,170,105
KahloFreeda,37,278
EmbEspSkopje,1410,570
ChicanPolitica,33,299
elvimmor,1040,2195
MartinKopp_,1236,696
KPLAS3,81,213
SSumelzo,20354,5128
frantrej05,2505,1260
EleComoPuente,93,245
UnLtdSpain,3177,1972
ThomilPro,277,216
claralunis,106,162
JaimeSilos,2123,544
teocla,244,1229
InfoDiplomacia,24999,15240
educacionCTS,599,186
AVesgaM,33,386
andriguzman,3630,1330
lazoedu,243,444
MarlisAracena,10702,4260
DANE_Colombia,200406,1587
pparganzuela,2327,694
joseluisgcureno,3512,2174
fvh_27,74,207
emakundEJGV,7045,327
reinaldowix,57,57
ONU_derechos,628408,2087
IsraelLpezMarn1,116,413
rnpy951fm,3933,513
mapagob,128476,941
BGonzalezGaya,165,520
traspergasi,1,16
Yayata24941889,271,190
jisettquezada,87,195
ana_antolin,637,1320
caram_paola,19,194
yonydumar,6841,6327
coplade_costa,948,914
alcastaro,505,231
regina_arroyo,69,916
jdoviedoa,6064,269
SalesianosEs,11596,774
lacamaradequito,12732,3084
fundaciondrmm,93,113
NayibeSegura,169,728
blogsostenible,15228,2328
Celi42084822,18,88
JulioDMartinez3,90,23
Capital2030,18,65
jalmagro,2879,249
brujinma,1120,913
JuniorReport_,1330,340
choikepurun,618,479
DGCyL,7493,1782
BrasalRosa,156,709
APCCARDENAS,73,19
misaelhoracio2,112,204
history_topics,6489,929
unicef_eus,948,1461
gmedinavogel,266,271
IesctUnq,66,539
nicolasAmon,3756,1160
BenjaminLAgro,46,202
anitamarianunez,266,339
CorpoTejesocial,44,91
SmartCity_Net,3139,645
AaltoCons,235,445
AstridBar_,520,448
sanidadgob,238072,605
Tosgriju,2178,712
IlianaCortez02,18,30
Santiag66557651,24,2
lmottafer,98,352
MrMisingno,3296,1306
Daniels830424,36,138
MarceloVitale,261,571
alidagf4,156,82
agenciaoaxacamx,4828,2406
luis_babiano,1756,1642
sanandreslovers,171,253
CaloCalo2017,28,208
jcastano78,889,1557
EMPODERA_org,5210,1200
Irachisan,55,182
MKevinTafoya,507,4980
gpssenado,16749,730
WDSUSANA,75,155
bearguell,38,106
Mertrak,2901,484
monitor_2030,22,188
eileenale,386,1524
PamelaSan_,109,117
MariaMedinaMar5,10,81
JuanrqzQuiroz,8,71
CulturaUNEDSg,135,49
RWallF,49,117
dianalecs,654,181
AlleCelia,120,232
7500Millo,108,388
alesew23,10889,12213
FedecaMIRANDA,101,128
HenanSoto,411,1210
PCvica,481,416
Fernand43688129,44,541
jairourquina1,129,801
Dircomcat,1268,378
SonYritmo,126,428
nenuhca,706,476
BencomoAle,524,823
SUEZAmCentral,565,471
Alberto_Guijarr,1252,1550
CaminoArroyo,158,73
MYuriMaria,2720,4026
jmaryli,4643,4220
LuisGonloz,335,932
MariaLeoMl,325,857
zullyladiosa,296,922
hdojgomez,4747,118
Proesa_sv,11591,423
m_chilibroste,467,410
aguadequito,34626,2097
guchachi,830,352
fisicadisidente,1011,898
320CyM,467,1481
Ferfollos,672,1266
ABC760AM,4769,164
pilamiranda,887,2451
lemavelez,510,274
JoseFra36250149,14,28
Beln82,401,1015
congresoib,902,711
miquel_seguro,1938,595
visitcabrera,838,1450
viajeosado,1649,1528
serrotsevein,100,484
karlagg979,3,6
JackisSher,26,46
ValarezoSilvia,12,138
AlexArevalo15,601,2642
SairaFlores_,872,735
NP_Aguirrezabal,304,419
OOdnamra,132,81
Carlosrenecorra,34,162
faby_92,64,198
pscbarcelona,6479,2990
EaLluvia,191,355
predondomora,167,294
amedina2011,1547,148
Telecom_Ec,165684,6584
Elena_19Abril,756,1121
brina_ar,1208,2951
tecnosolar_mx,110,115
MiguePereira79,387,196
RositaOrloff,337,650
julumbreras,352,95
diegocobosch,1400,556
CarmenA33780200,32,85
LauCanBio,805,3247
hwc_wellbeing,44,56
ambientologica_,385,788
doriansanchez_,188,2063
klemengambel,40,178
jamc1982,875,1364
Bernardosame,1413,986
ECO_CIRCULAR,2820,731
ggwcup,2187,1637
EnRoNu,49,147
JDL1385,92,563
ATORIVERO,3608,4824
Ecoplayero,67,247
solgmunoz,3289,1703
blk_acosta,72,225
Maariiaaangeles,6,26
andreacdlt,45,261
Paco_almodovar,574,741
MARGARITAESTEL1,1220,1740
jorgesolana,1050,539
NoraLBS,502,504
muniargentina,3562,2074
DelGobCantabria,781,137
jaimesfsegundo,17,11
JuanPangulo,999,1589
cosme_pao,45,81
normapbg,117,156
vanesssavela,591,1204
pilarljg,147,136
DachaAtienza,614,652
JoseLuisGilGonz,3088,1515
carlacotte,267,189
VeritoAlexa8,7,17
prospectador,12402,12750
Webstranet,850,1974
TheTechnologyTm,2039,120
AnchetaAna,274,265
Andalucia_Ong,4600,130
MatiasRamirez50,407,176
ONGCanales,761,701
GiuliaMassobrio,243,225
OITnoticias,31536,153
bcarrebravo,17284,1129
EducacionMGP,1120,223
Agustin___Lopez,445,805
ElWillyStyle,442,1419
hsjdleon,301,41
EmbEspMaputo,1394,300
sebasarias2001,528,3928
euskaltel,9008,4828
adriantorre97,1325,1476
DonesCompromese,2581,1631
ALMUGOGAR,218,441
hectorjuanvp,2558,2718
robertocarlos_n,57,38
ToyitoSal,4904,1567
CentroCEMEXTEC,645,1077
JuanPaCS86,142,679
Unacuentafuturo,4,34
AnnaSegarraG,58,152
victorherrerom,898,1479
koikiliramos,98,720
YouthAction4SDG,94,85
fesabid,9228,2459
Oscar_MarB,289,1575
raultose,657,1259
MaraolinaDD,174,602
AngelDavidCaSa,222,582
allizvm,210,541
rafacratos,51,61
coemmaristasmed,549,120
sfernandezru,706,1628
DiegoParedes9_,707,603
ceglaplata,826,699
HuescaExcelente,464,167
CorpIGDE,22,153
jffrojan,77,196
laiasul,171,473
jrodriguezarana,1827,31
DpmRichi,477,406
yaguarapanama,1950,1499
lramosb,89,43
_carozm,81,267
crisbahamonde,187,546
manenar,301,410
PradosMay,33,105
jilmar_capelo,27,44
mis3yyo,234,190
ANGED_es,4667,615
cbravosantos,886,1034
Chapiescarlata,1193,1085
caterinayvonaSV,626,701
FIIAPP,8114,2400
juan_barbado,21,33
elisacm_18,11,43
ASPRODA,40,137
pamela_poo,3462,3977
lpa_org,534,728
MarVer_1,11,28
pilarblanco,265,196
eugenia_saini,311,283
Mafernandaleonm,1528,1921
VinkaJackson,20984,5234
soce_cgce,65,137
SSanchezPanama,455,241
MIsabel54,689,792
RevistaRetosUps,83,583
SarahiPalmaCas1,11,120
juanjoamate,1721,283
ftsaez,30492,4589
Tabascohornyy,2150,2610
sjvalladolid,1831,865
ElenaVizcay,405,635
leovillafane,1322,1153
Marzzia5,5,76
prisserrano1,9,11
ABDIELCRUZ7,1171,810
jehielazurim,1103,2546
luisreneabrego,2861,3537
Rosalbacn,380,360
univallemomboy,8656,44
MexicoSocial_,51024,827
leguizamonml,461,762
alonsosteele,892,2444
Johan_Schot,2157,638
marcemaduque,46,164
mauriciolopez_r,130,617
CooperacionESP,25492,2368
FulgencioJS,283,682
Moms_66,147,323
sarissel,125,202
GiovaniJara,2303,1964
MarcoLucena12,135,228
Fruteriatogni,680,583
paulinacampos,930,551
rchavarri,1366,2251
jumasa85,4166,3702
ConsEspLaHabana,2010,321
YpsilomRSE,1300,500
luis_ods,93,48
albatistag,1308,1170
caracocoquesa,756,318
econolieber,519,1278
oscar_mtnz_ibnz,115,220
RodrigoJiso,389,375
YoliJimenezP,554,484
bibliodonihue,990,282
DOMINGUEZLM,24366,6548
davidgvtierrez,2628,776
Marioliva4,1378,2497
Angel_Ventures,763,542
paredesmla2,454,405
gperezedith,246,139
montespecuario,707,942
AguilarIrza,23,195
CarmenEMeza1,68,454
JSCEsplugues,311,351
Claritapv2,83,216
ConchaAvila,2721,2678
katerinevasp,24,13
111faro,153,97
cris230653,286,543
ColegiodeCorre1,61,540
Albertomdp57,1298,529
CarolinaCamOr,798,2366
CarmenGmAcebo,268,523
fradulo,62,70
gise0430,490,1990
CICBata,1167,628
Wilsonparachute,411,333
ScientificActiv,153,67
abriendodatoscr,1593,1098
griserochoa,231,732
contagiadx,359,904
Habitacion110,96,140
HelpArgentina,4715,1925
zpillado,389,1074
bliberoff,1696,36
barreraastrid,673,106
Dragonslynn1981,1056,1479
Constantinormzr,444,1810
casteandres93,512,1659
MojarroLopez,940,768
MatematicasIB,455,132
javierre_es,1517,156
Lista316,108,286
Soniaavargas,5092,4894
urjc,49070,616
CEComercioJusto,6324,825
FMBBVA,2890,444
LopezOyanarte,4,30
FJNF_,106,287
DavidMolinaGa,18,41
ONUMX,121349,720
pmalnati,85,240
SilviaRms,52,310
asiolegarcia,1360,2406
HerreraUy,105,985
RetoTech,1120,731
mastercoopera,3983,2353
raulrocawabe,1439,1354
tomateloapecho,4944,1396
lopezdiazasc5,809,2938
x_viola_x,466,984
Pemoes,222,402
CabaStreaming,253,955
IKI_Mexico,1164,472
acciontierra,502,5001
poetopiaORG,632,1094
PSOEigualdad,9822,1143
CruzRojaPinto,102,125
maurospina1223,87,449
sostenible132,531,316
luisyepesb,15084,9056
valeriasosaf,577,148
neurojutsu,14,13
proyectoedem,100,96
pedroemateo,3919,4876
carmenm12319570,122,213
MRoboticaUMH,187,283
FOussidhoum,179,85
JMRuiz3,1929,3838
elenatvieira,3015,5001
RicardoBaluga,159,834
JhardiAurora,1599,1468
hurtadoj25,531,965
oikit,644,607
rauvva,51,83
ERUBENB,25,71
ElorzaJuan,13,43
mauricioromerot,181,821
oscarfc777,279,592
msolcito73,519,900
asenmac,742,453
PeriodismoUCLM,1674,268
CACTUec,158,275
marietabeun,1605,1391
Operah3Maria,1002,631
mariagemaquint1,782,677
NEsmoris,727,613
inmitacs,12874,13695
MarthaRoblesE,169,475
tertuliaglg,3371,2359
PSOE_Pelayos,791,251
fabiolapoblano,429,430
ErifeEricka,623,373
h_Juanii,178,138
lucianamermet,1146,1216
Nicoarkano,748,729
Gileprince27,68,469
margaretojalvo,2287,1871
gachisbar,226,437
LuciaBeltranRoc,63,229
iambiente,59142,23649
LeftDavid,323,1064
Nenbo77,56,472
snietoparra,634,367
lilian_grill,163,147
rcs_chile,489,873
RSCruzRojaMad,1932,1970
ADRIANAMILO,50,31
antonio17592442,3,12
SantosFrosteAli,104,633
villa_marita,1818,1011
CMARMOLWITTGRUB,345,2412
RseCCOObbva,62,48
probonolegal,1419,2782
jmgarciaperez,9707,3538
klebersanchez17,19,29
Kernelsan,46,127
joseanhel,455,730
stefanliller,352,59
EPSAlicante,5333,183
f_fundaneed,189,89
Vgtz07VERONICA,68,212
villalavallesum,8,64
MassipMarta,348,1675
MarcoAGarza,587,282
NUEVOFUTURO,2584,1839
AriannaVelez,126,395
KarinaSosa_2,10021,641
Mafuensanta,1888,2401
JensyJen,423,361
Sevelandera,606,1456
GVacchini,7,14
puribm47,1279,820
Plan2040,229,482
hyst3ron,103,391
mpratsb,36,133
tptorata,286,904
JaLepreux,99,501
BailacAssumpta,519,410
TVESsv,49496,1680
JoseMLeceta,1688,85
LecheCeteco,1526,1657
wilsonor1955,257,929
FonsCatala,2657,771
nralarcon,740,1003
iciech_06,128,276
TuminiSM,1526,1386
ElTurquitoTuc,98,219
luideito,219,247
Maridona84,3,41
DiegoSo54136928,21,553
moliangeln,25,65
juansrobledo,1682,668
RIOD_oficial,757,270
UrrVir,301,505
peperaul7,904,957
silarrivi,270,503
maganbarcelona,116,187
MASalazarR,4131,2762
cbeldatapia,107,117
pellegrina07,139,119
VocesEsejota,488,109
bomobu,1694,1919
Roberto19740286,7,31
fabianaguadalu4,1730,4813
tpalahi,5686,2777
crisserradell,467,1003
Carles_Cabre,293,526
davidyagual_25,28,55
jesusdelaosa,3093,2693
tatianam08,381,465
irenegonser,844,1286
sipea12,1681,1467
gbragatwit,1055,1814
GADE_Argentina,36,229
pachamamakusil1,166,474
menarini_es,8836,1034
lourdeslopezca,188,354
UNESCOMexico,248790,912
PepeClavijoA,98541,34744
LucasMostazo,11073,7381
MIgualdadPinto,217,127
Simonchpa,6,42
Jusarca,412,711
elena_pequee,100,333
Marahersa,4187,2216
RRIIglocales,722,652
arelibiciteka,10628,1191
SorRoxana,522,1313
NrumboAsoc,321,1232
foretica,16655,1319
espaciogeranios,763,698
VelisGustavo,621,3832
GSK_ES,2568,423
RedCarolinaCol,5976,896
ZNyongtory,22,163
EmbajadaEspPeru,2841,270
planificable,552,368
oscarfierroa,42,295
IgualNacho,6,7
MjoseChaconAg,166,220
Lunamahal,144,512
Ana_F_Laviada,71,126
UNFPAInnovation,2080,494
lrsln22,37,371
AdriRico5,66,121
AdalidAldana,457,287
Gelicaballero,21,45
alonso_nora,692,1227
barisabel,128,357
EncarnaRodrigu6,729,1408
barrsenior,152,932
Capitan_Snow,335,499
Whipala_16,28,26
voleyAlcobendas,2880,1165
SaludCriticaMX,1783,2242
EarthCheck_,3573,1292
DEccpps,49,82
NicolaDignum,44,37
joseartusi,3870,5001
dfcspain,3951,2077
MelLoayzaZ,134,401
EDocet,17767,998
pineiroangeles1,286,231
revistajoblanco,15319,8280
STP_Paraguay,26294,772
sanreinosa,317,2839
verodelgadosch,643,312
AdrinaoGarcia,94,309
EmbEspTailandia,6499,729
davidaldeano,280,676
BlancoBea,375,952
albertjairich,138,218
EnactusMexico,1505,289
XavierNavarro1,2422,3103
Victoria_gilar,127,280
jackie232825,57,440
fjcoba,187,128
lamacatorres,177,644
FranjDelMo,5007,4508
SustainableAlli,1140,1583
InvernizziMario,4178,2973
ceciois,159,271
GrandesChicas,2091,2913
mariabarcelo,8713,4512
Ethic_,32974,1737
fernandaadiazH,637,1087
PuebloOpina1,35,79
EmmeKaa29,238,1358
equomadrid,14903,4417
ECORETOsc,2043,2166
MarquezFunez,1870,1457
mariadefo,363,801
jpmurra,1788,683
Francescsv,1415,660
Pilar_Llacer,2529,3528
MendezLeo06,3066,4278
suscalmol,40,48
ComosCarmen,156,317
nitavilla,972,513
Omar_Aguilar212,10072,832
samanthajcsmith,4324,1569
SGRUPOBINAR,177,588
MEstrades,849,1294
ifydaconsultor,509,1050
EnriqueGarcaPa1,26,23
ONUHabitatMex,9692,720
DiGuevara,892,4981
rojs1129,226,242
fbernal10,274,124
RicardoCamus8,17,91
JosehpTrujillo,243,76
Irene31596544,87,198
MSP_UMHUA,395,146
JuanRam79897900,64,90
Marita_UNICEF,3051,855
gori_estarellas,637,1351
detallesfm,1989,4449
jsanchezcec,1724,1374
jalexp1,9787,8650
AlfreArganMo,159,684
andreacabot,361,317
Moonchildlibros,511,905
CiegUaemex,537,289
ximolanga,373,211
_minecogob,38146,64
Sjimenezm,438,489
luisccaballo,97,99
santo200485,339,879
Yriverosantana,592,680
SusanaCorral_,539,433
arubiosa,308,504
LIVESANJOSE,263,206
glorialopez49,2897,1646
carmencampos_,375,209
AmbienteNacion,25199,325
SaludTrabajoSIG,1002,987
sostenibleXXI,70,86
fundtrafic,1367,3617
davidgmartin,850,1481
marchadearboles,94,114
njumbo,165,214
gabylippi,348,567
CipactlyChef,348,232
IIVCompartido,77,529
liderazgo_red,16,82
MAPFRE_ES,23572,4901
ErikaCembranos,415,128
mccasasc,482,655
tanuniversal,524,859
CruzRojaBurgos,2588,569
J_Gonzalez50,258,264
gabinunez,277,817
18rodpf,769,526
diosanga,84,733
conductosalonso,1524,1302
CteMondello,889,488
CamaraCIP,11142,999
almaglezfig,204,653
ASteiner,36991,322
IIDMA_ecolaw,914,871
Belen_Viloria,4400,3231
NancyGarv,455,250
BalibreaM,103,337
IvanArdilaL,163,355
EmbEspNicaragua,2184,95
PCiudadana,51924,1187
SanjuanbenitoD,982,958
lgramirez4,164,148
zurdoj21,117,172
Lapislatzuli_,342,1147
PilarFas,74,42
kcedano,1694,250
FAOIndigenous,1151,515
evelynm56952524,3,25
niurka_i,21,222
AnaRodriguezC11,75,158
Suni_Sanchez,3751,3284
DanielBastan,313,449
ProydeZaragoza,300,192
maisita101544,5,15
SamChicaABC,134,181
Monmon09090909,325,460
IsabelSotoo,272,10
9debates,70,102
diegodelunamx,4480,5003
Gpe_Rivero_R,1354,511
ENAIRE,13053,390
ciconiaeduca,1049,1577
Cristobaljanez,277,553
Ecoavantis,1504,1259
equaltimes,5008,1576
juancaceresvene,45,126
REDAC_DDHH,3160,386
biblioteca_uc3m,9819,952
patricioguitart,1435,950
AAVVSanBasilio,528,840
loremartinp,1001,955
JoseEstayN,2861,5001
dgavalo,1436,1207
AlQuintanilla,356,391
Latinosan2019cr,629,2056
Lapicaraza,132,88
mdoloresg2119,31,37
unam_heforshe,541,245
observalocal_,97,287
TomeZulema,63,111
Ayto_Montilla,2038,504
geralvet,461,630
rebiun,2677,248
monicteresit,107,194
EFEverde,102885,3349
rciniega1,10370,4344
LeoGutson,2097,999
lvonnita,16,41
JaimeTatay,3474,800
EmilioCarrilloM,61,648
